name,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,Last 3 Days,Last 7 Days,unavailable
Hiroaki Teshima,0,25,0,16,0,0,0,0,41,0
Franky Mayo,9,18,43,0,0,0,0,0,70,0
Crispin Roque,0,69,0,26,17,0,40,57,152,1
Paco Vazquez,0,29,28,49,33,28,32,93,199,1
Chava Christian,39,0,34,0,0,0,0,0,73,0
Franck Zenteno,28,11,0,33,35,28,0,63,135,1
Yoni Galvan,56,12,0,0,71,18,0,89,157,0
Jaime Burton,35,0,49,28,28,11,0,39,151,1
Chiba Hamasaki,0,0,40,22,25,0,0,25,87,0
Shohei Kinoshita,27,0,20,0,47,0,39,86,133,0
Jeremy Ball,0,25,69,30,15,36,39,90,214,1
Ravi Hidalgo,27,0,0,0,0,12,37,49,76,1
Ben Guardado,0,0,0,45,0,50,50,100,145,1
