name,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,Last 3 Days,Last 7 Days,unavailable
Hiroaki Teshima,44,31,0,0,85,28,43,156,231,1
Franky Mayo,26,0,0,0,0,0,0,0,26,0
Crispin Roque,0,0,0,48,24,0,0,24,72,0
Paco Vazquez,0,0,65,40,46,31,18,95,200,1
Chava Christian,0,0,0,20,49,14,0,63,83,1
Franck Zenteno,0,0,50,17,0,17,0,17,84,0
Yoni Galvan,0,83,41,29,20,0,82,102,255,1
Jaime Burton,0,31,0,0,28,62,0,90,121,0
Chiba Hamasaki,0,27,0,0,22,27,70,119,146,1
Shohei Kinoshita,43,88,30,47,19,0,5,24,232,1
Jeremy Ball,0,0,24,48,0,32,46,78,150,1
Ravi Hidalgo,41,34,0,0,0,0,0,0,75,0
Ben Guardado,90,0,46,0,0,0,0,0,136,0
