name,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,Last 3 Days,Last 7 Days,unavailable
Noel Cesar,0,24,0,50,75,0,22,97,171,1
Dhanushka Murata,81,0,27,72,32,35,42,109,289,1
Koyo Kawai,0,0,0,0,0,0,0,0,0,0
Paulo Larson,0,0,0,48,0,12,0,12,60,0
Kakeru Hattori,0,36,0,0,0,0,55,55,91,0
Patrice Floyd,0,0,22,0,35,30,13,78,100,1
Samuel Leigh,38,0,0,0,20,0,33,53,91,0
Tino Caldera,70,38,34,38,0,0,0,0,180,0
Vico Oliva,16,49,0,37,52,66,57,175,277,1
Willy Cheng,0,33,53,0,0,11,12,23,109,1
Norihisa Nagahama,19,0,22,0,20,34,0,54,95,0
Kou Torii,0,24,60,44,0,24,0,24,152,0
Jose Alejandro Portillo,42,8,37,0,0,42,26,68,155,1
Koya Oda,0,41,36,0,38,0,0,38,115,0
