name,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,Last 3 Days,Last 7 Days,unavailable
Noel Cesar,0,19,0,0,0,11,41,52,71,1
Dhanushka Murata,0,23,0,34,40,15,65,120,177,1
Koyo Kawai,0,18,0,17,29,32,0,61,96,1
Paulo Larson,0,28,0,0,0,0,72,72,100,0
Kakeru Hattori,49,0,0,0,0,0,36,36,85,0
Patrice Floyd,20,39,21,49,37,0,0,37,166,0
Samuel Leigh,106,38,23,0,33,0,14,47,214,0
Tino Caldera,0,0,0,44,45,42,0,87,131,1
Vico Oliva,0,0,41,13,10,107,0,117,171,1
Willy Cheng,0,49,0,0,25,0,0,25,74,0
Norihisa Nagahama,0,0,54,0,33,0,0,33,87,0
Kou Torii,0,0,33,0,0,34,47,81,114,1
Jose Alejandro Portillo,94,17,57,98,10,35,21,66,332,1
Koya Oda,0,21,0,0,0,0,0,0,21,0
