name,2023-06-24,2023-06-25,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Last 3 Days,Last 7 Days,unavailable
Nazario Amezcua,12,0,50,0,16,66,0,82,144,0
Bryan Ferguson,0,0,72,14,0,38,14,52,138,1
Ben Mckinney,0,44,0,0,0,14,23,37,81,1
Rohan Reese,0,8,0,0,21,30,0,51,59,0
Ikeda Taka,44,0,0,0,0,0,42,42,86,0
Carlo Lang,41,23,0,39,53,53,41,147,250,1
Cirilo Dorantes,57,0,0,46,0,0,41,41,144,0
Chikara Yusuke,57,32,41,21,0,0,23,23,174,0
Syed David,30,0,50,32,26,46,0,72,184,1
Osamu Hirayama,37,39,0,84,60,0,15,75,235,1
Martin Lagunas,0,31,11,0,44,0,0,44,86,0
Sean Dixon,0,15,0,30,0,0,26,26,71,0
Nobu Mizuguchi,0,32,41,0,62,0,0,62,135,0
Edgar Barbosa,0,40,20,0,0,36,0,36,96,0
