name,2023-06-24,2023-06-25,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Last 3 Days,Last 7 Days,unavailable
Jack Carbajal,0,20,0,0,22,22,0,44,64,0
Daishi Kurita,18,0,0,0,0,38,0,38,56,0
Gerson Soria,0,0,26,50,0,48,84,132,208,1
Valerio Talavera,0,0,0,35,0,61,0,61,96,0
Kouhei Hiroki,33,30,0,25,23,0,36,59,147,1
Jose Alberto Balderrama,0,17,0,0,0,27,84,111,128,1
Margarito Dennis,0,0,0,0,18,0,0,18,18,0
Janaka Madusanka,16,0,85,13,22,0,69,91,205,1
Shoichi Hirata,0,41,70,0,18,0,25,43,154,0
Dilshan Nishi,44,31,18,49,0,23,0,23,165,0
Chandra Butler,27,96,0,22,97,0,0,97,242,0
Jl Talavera,22,32,0,25,15,0,0,15,94,0
Pantera Ramos,75,0,0,0,0,14,41,55,130,1
Kenji Iwamoto,0,0,55,0,0,0,0,0,55,0
