name,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,Last 3 Days,Last 7 Days,unavailable
Eiichi Ishiguro,0,32,0,0,74,72,77,223,255,1
Aureliano Granados,16,0,0,0,33,0,0,33,49,0
Juninho Fuji,31,56,26,0,0,0,19,19,132,0
Brian Hernadez,42,37,16,40,0,64,15,79,214,1
Sandeep Alcantara,0,0,0,32,41,34,0,75,107,1
Maicon Homma,0,30,0,19,0,0,0,0,49,0
Gumaro Solano,0,0,8,31,24,0,36,60,99,1
Fam Moo,17,0,23,119,29,0,0,29,188,0
Avelino Nieves,39,0,35,19,0,0,54,54,147,0
Ignacio Bell,0,30,37,0,0,0,0,0,67,0
Hayato Iwasaki,21,22,0,0,0,0,0,0,43,0
Yuta Nakano,0,0,15,0,0,50,0,50,65,0
Peter Soto,48,38,0,0,37,0,0,37,123,0
Harrison Martin,28,0,84,0,40,102,85,227,339,1
