name,2023-08-24,2023-08-25,2023-08-26,2023-08-27,2023-08-28,2023-08-29,2023-08-30,Last 3 Days,Last 7 Days,unavailable
Noel Cesar,16,0,0,0,16,0,0,16,32,0
Dhanushka Murata,0,0,21,50,0,0,0,0,71,0
Koyo Kawai,0,85,0,82,34,34,0,68,235,1
Paulo Larson,0,32,33,0,0,32,0,32,97,0
Kakeru Hattori,19,9,15,27,0,43,0,43,113,0
Patrice Floyd,33,0,10,67,0,46,17,63,173,1
Samuel Leigh,24,0,0,0,0,0,14,14,38,0
Tino Caldera,0,0,0,0,35,26,18,79,79,1
Vico Oliva,26,64,0,16,22,0,0,22,128,0
Willy Cheng,23,0,51,25,44,61,0,105,204,1
Norihisa Nagahama,32,0,18,0,47,0,30,77,127,0
Kou Torii,27,0,14,0,0,0,13,13,54,0
Jose Alejandro Portillo,12,22,11,10,0,0,57,57,112,0
Koya Oda,0,67,0,0,37,29,75,141,208,1
