name,2023-06-24,2023-06-25,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Last 3 Days,Last 7 Days,unavailable
Noel Cesar,35,0,25,19,69,0,0,69,148,0
Dhanushka Murata,24,0,56,63,45,0,0,45,188,0
Koyo Kawai,0,41,0,32,8,26,0,34,107,1
Paulo Larson,23,54,0,0,26,0,66,92,169,0
Kakeru Hattori,48,0,31,27,0,46,11,57,163,1
Patrice Floyd,0,33,0,0,0,38,44,82,115,1
Samuel Leigh,0,26,70,27,0,0,46,46,169,0
Tino Caldera,36,39,27,0,0,0,0,0,102,0
Vico Oliva,19,30,0,0,0,56,0,56,105,0
Willy Cheng,0,45,0,0,0,33,18,51,96,1
Norihisa Nagahama,38,0,0,54,0,24,25,49,141,1
Kou Torii,0,47,0,22,40,0,0,40,109,0
Jose Alejandro Portillo,18,0,31,0,28,14,21,63,112,1
Koya Oda,29,0,10,0,0,35,0,35,74,0
