name,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,Last 3 Days,Last 7 Days,unavailable
Ricky Murillo,32,0,15,0,0,36,19,55,102,1
Wataru Takuya,0,0,14,15,0,17,0,17,46,0
Arturo Banks,0,0,0,0,63,0,0,63,63,0
Vic Sc,55,65,0,16,44,0,15,59,195,1
Eusebio Quiroz,8,0,52,0,42,44,0,86,146,0
Kayo Matsuzaki,35,15,15,39,43,21,49,113,217,1
Didier Angulo,0,0,25,0,72,0,0,72,97,0
Cuauhtemoc Falcon,9,0,0,75,0,38,48,86,170,1
Axel Solorio,0,39,0,0,0,0,25,25,64,0
Arthur Araujo,20,0,91,33,0,27,26,53,197,1
Jorge Arturo Ivan,0,0,49,0,14,51,0,65,114,0
Temo Segovia,73,72,0,17,48,0,24,72,234,1
Yoshida Nakai,0,0,0,0,0,0,0,0,0,0
Arthur Escobedo,0,70,48,15,0,33,8,41,174,1
