name,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,Last 3 Days,Last 7 Days,unavailable
Noel Cesar,20,0,0,30,28,22,0,50,100,1
Dhanushka Murata,19,35,0,0,0,16,14,30,84,1
Koyo Kawai,0,47,0,0,0,0,0,0,47,0
Paulo Larson,43,0,0,0,0,26,0,26,69,0
Kakeru Hattori,0,15,10,0,31,0,0,31,56,0
Patrice Floyd,29,0,17,44,25,0,0,25,115,0
Samuel Leigh,16,53,56,0,88,60,0,148,273,0
Tino Caldera,30,0,20,0,0,0,44,44,94,0
Vico Oliva,31,0,0,0,35,0,0,35,66,0
Willy Cheng,0,0,59,14,0,38,87,125,198,1
Norihisa Nagahama,0,75,22,40,43,0,37,80,217,1
Kou Torii,0,0,0,62,0,0,72,72,134,0
Jose Alejandro Portillo,38,0,0,0,0,0,90,90,128,0
Koya Oda,32,39,12,23,0,62,0,62,168,0
