name,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,Last 3 Days,Last 7 Days,unavailable
Eiichi Ishiguro,0,0,0,0,26,39,11,76,76,1
Aureliano Granados,105,0,0,0,0,11,41,52,157,1
Juninho Fuji,31,31,0,24,0,0,56,56,142,0
Brian Hernadez,45,0,34,19,0,22,0,22,120,0
Sandeep Alcantara,0,40,67,14,0,0,0,0,121,0
Maicon Homma,0,25,28,0,0,21,21,42,95,1
Gumaro Solano,0,0,0,28,17,0,23,40,68,1
Fam Moo,0,58,0,49,0,0,0,0,107,0
Avelino Nieves,23,0,17,0,23,56,0,79,119,0
Ignacio Bell,27,30,55,40,0,0,0,0,152,0
Hayato Iwasaki,0,46,0,0,19,6,25,50,96,1
Yuta Nakano,22,0,16,15,0,54,0,54,107,0
Peter Soto,0,0,51,31,56,0,70,126,208,1
Harrison Martin,0,30,0,0,38,0,0,38,68,0
