name,2023-06-24,2023-06-25,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Last 3 Days,Last 7 Days,unavailable
Ricky Murillo,44,41,28,0,0,0,0,0,113,0
Wataru Takuya,0,35,0,0,21,70,63,154,189,1
Arturo Banks,53,0,0,43,0,24,0,24,120,0
Vic Sc,0,14,0,0,0,0,0,0,14,0
Eusebio Quiroz,0,0,109,59,62,34,27,123,291,1
Kayo Matsuzaki,27,32,0,42,0,15,15,30,131,1
Didier Angulo,0,0,0,0,0,0,11,11,11,0
Cuauhtemoc Falcon,0,47,7,0,18,0,42,60,114,0
Axel Solorio,0,0,0,0,32,15,0,47,47,0
Arthur Araujo,52,29,0,65,17,0,38,55,201,1
Jorge Arturo Ivan,18,0,32,38,0,9,0,9,97,0
Temo Segovia,58,10,25,0,0,14,26,40,133,1
Yoshida Nakai,0,0,0,40,75,30,19,124,164,1
Arthur Escobedo,27,43,76,33,37,0,0,37,216,0
