name,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,Last 3 Days,Last 7 Days,unavailable
Hiroaki Teshima,0,0,0,75,32,63,0,95,170,1
Franky Mayo,0,0,0,0,49,11,22,82,82,1
Crispin Roque,18,0,12,0,54,0,0,54,84,0
Paco Vazquez,52,88,0,70,0,7,0,7,217,0
Chava Christian,0,18,0,31,0,0,0,0,49,0
Franck Zenteno,0,0,0,0,0,0,0,0,0,0
Yoni Galvan,42,0,0,0,63,0,113,176,218,0
Jaime Burton,0,0,0,9,0,0,35,35,44,0
Chiba Hamasaki,0,0,44,0,0,37,0,37,81,0
Shohei Kinoshita,68,0,43,0,0,37,31,68,179,1
Jeremy Ball,21,18,44,0,14,37,0,51,134,0
Ravi Hidalgo,53,71,37,0,0,0,55,55,216,0
Ben Guardado,0,14,25,57,21,28,38,87,183,1
