name,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,Last 3 Days,Last 7 Days,unavailable
Ricky Murillo,0,0,44,45,30,57,0,87,176,1
Wataru Takuya,0,0,47,0,0,0,30,30,77,0
Arturo Banks,0,73,34,0,32,52,0,84,191,0
Vic Sc,0,80,24,64,0,0,29,29,197,0
Eusebio Quiroz,58,15,0,58,0,19,35,54,185,1
Kayo Matsuzaki,7,0,48,0,32,0,17,49,104,0
Didier Angulo,18,0,0,28,34,0,7,41,87,1
Cuauhtemoc Falcon,0,0,0,0,0,0,0,0,0,0
Axel Solorio,0,50,0,0,63,37,27,127,177,1
Arthur Araujo,0,0,37,0,0,40,24,64,101,1
Jorge Arturo Ivan,88,28,0,0,40,19,0,59,175,0
Temo Segovia,0,0,20,52,0,0,0,0,72,0
Yoshida Nakai,0,0,0,0,0,0,20,20,20,0
Arthur Escobedo,75,13,0,0,28,0,0,28,116,0
