name,2023-06-24,2023-06-25,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Last 3 Days,Last 7 Days,unavailable
Hiroaki Teshima,0,0,0,16,0,28,42,70,86,1
Franky Mayo,0,0,34,13,0,0,0,0,47,0
Crispin Roque,14,0,0,0,33,26,0,59,73,0
Paco Vazquez,0,50,62,84,0,88,37,125,321,1
Chava Christian,11,27,0,0,16,0,0,16,54,0
Franck Zenteno,18,15,33,0,19,51,44,114,180,1
Yoni Galvan,70,0,16,39,0,31,0,31,156,0
Jaime Burton,0,0,0,0,0,0,22,22,22,0
Chiba Hamasaki,20,0,15,37,0,0,39,39,111,0
Shohei Kinoshita,18,69,0,0,0,0,38,38,125,0
Jeremy Ball,0,0,44,0,84,0,0,84,128,0
Ravi Hidalgo,36,0,16,0,50,0,66,116,168,0
Ben Guardado,0,79,0,74,0,0,0,0,153,0
