name,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,Last 3 Days,Last 7 Days,unavailable
Eiichi Ishiguro,0,93,0,53,0,74,0,74,220,0
Aureliano Granados,15,14,0,0,76,78,0,154,183,0
Juninho Fuji,14,0,35,29,45,0,64,109,187,1
Brian Hernadez,0,0,0,0,47,0,16,63,63,0
Sandeep Alcantara,0,0,0,44,18,44,0,62,106,1
Maicon Homma,13,0,0,15,0,0,0,0,28,0
Gumaro Solano,0,44,32,69,0,0,0,0,145,0
Fam Moo,22,27,23,0,0,0,19,19,91,0
Avelino Nieves,0,0,34,0,0,0,8,8,42,0
Ignacio Bell,0,0,0,29,0,36,38,74,103,1
Hayato Iwasaki,61,0,42,22,54,0,0,54,179,0
Yuta Nakano,31,0,95,0,0,42,56,98,224,1
Peter Soto,82,0,0,0,59,0,0,59,141,0
Harrison Martin,0,55,0,0,0,40,26,66,121,1
