name,2023-06-24,2023-06-25,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Last 3 Days,Last 7 Days,unavailable
Eiichi Ishiguro,89,0,42,0,41,13,25,79,210,1
Aureliano Granados,0,32,0,29,0,60,22,82,143,1
Juninho Fuji,25,64,0,0,0,0,0,0,89,0
Brian Hernadez,21,0,61,7,0,21,0,21,110,0
Sandeep Alcantara,46,35,0,35,103,0,21,124,240,1
Maicon Homma,0,25,23,0,0,0,0,0,48,0
Gumaro Solano,0,48,0,0,8,0,0,8,56,0
Fam Moo,0,0,0,47,49,85,0,134,181,1
Avelino Nieves,34,0,32,37,0,37,36,73,176,1
Ignacio Bell,13,35,56,0,0,0,0,0,104,0
Hayato Iwasaki,0,0,24,52,50,0,0,50,126,0
Yuta Nakano,31,0,13,63,0,0,86,86,193,0
Peter Soto,0,0,0,0,34,0,25,59,59,0
Harrison Martin,0,18,22,0,12,25,41,78,118,1
