name,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,Last 3 Days,Last 7 Days,unavailable
Jack Carbajal,0,54,41,0,43,40,28,111,206,1
Daishi Kurita,45,21,27,22,0,0,122,122,237,0
Gerson Soria,23,34,0,0,0,39,19,58,115,1
Valerio Talavera,6,0,13,0,16,0,15,31,50,0
Kouhei Hiroki,0,73,0,0,0,26,29,55,128,1
Jose Alberto Balderrama,0,0,46,35,0,13,0,13,94,0
Margarito Dennis,86,0,0,0,42,0,0,42,128,0
Janaka Madusanka,43,49,36,21,0,0,26,26,175,0
Shoichi Hirata,48,0,0,0,24,116,13,153,201,1
Dilshan Nishi,24,23,37,68,0,0,0,0,152,0
Chandra Butler,0,0,32,0,85,0,0,85,117,0
Jl Talavera,0,43,85,22,35,0,0,35,185,0
Pantera Ramos,0,0,0,36,0,0,0,0,36,0
Kenji Iwamoto,0,27,0,79,63,13,0,76,182,1
