name,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,Last 3 Days,Last 7 Days,unavailable
Nazario Amezcua,0,0,20,45,0,42,0,42,107,0
Bryan Ferguson,71,40,0,31,0,0,0,0,142,0
Ben Mckinney,34,0,0,39,0,0,88,88,161,0
Rohan Reese,0,86,0,0,0,0,0,0,86,0
Ikeda Taka,6,34,13,45,15,20,35,70,168,1
Carlo Lang,0,0,0,80,79,79,8,166,246,1
Cirilo Dorantes,0,0,72,0,26,0,41,67,139,0
Chikara Yusuke,0,0,0,0,66,56,0,122,122,0
Syed David,62,26,0,0,0,0,40,40,128,0
Osamu Hirayama,0,0,43,0,0,0,18,18,61,0
Martin Lagunas,11,45,26,0,18,14,36,68,150,1
Sean Dixon,38,0,0,0,48,0,0,48,86,0
Nobu Mizuguchi,28,25,32,38,0,22,0,22,145,0
Edgar Barbosa,0,30,0,0,0,35,0,35,65,0
