name,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,Last 3 Days,Last 7 Days,unavailable
Jack Carbajal,0,42,0,38,0,18,80,98,178,1
Daishi Kurita,48,0,0,9,27,35,22,84,141,1
Gerson Soria,0,30,13,0,0,57,36,93,136,1
Valerio Talavera,29,0,25,0,27,0,44,71,125,0
Kouhei Hiroki,0,0,0,24,64,0,0,64,88,0
Jose Alberto Balderrama,0,36,51,10,0,48,0,48,145,0
Margarito Dennis,0,0,0,0,0,70,0,70,70,0
Janaka Madusanka,0,0,0,42,40,0,18,58,100,1
Shoichi Hirata,37,0,11,0,0,0,72,72,120,0
Dilshan Nishi,0,39,0,52,12,0,0,12,103,0
Chandra Butler,34,22,0,30,13,52,0,65,151,1
Jl Talavera,62,19,74,0,0,18,0,18,173,0
Pantera Ramos,74,54,29,38,35,0,0,35,230,0
Kenji Iwamoto,16,45,39,0,0,0,16,16,116,0
