name,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,Last 3 Days,Last 7 Days,unavailable
Nazario Amezcua,0,40,0,0,92,0,0,92,132,0
Bryan Ferguson,0,71,0,19,0,115,0,115,205,0
Ben Mckinney,0,16,39,45,0,0,63,63,163,0
Rohan Reese,0,0,0,0,0,49,23,72,72,1
Ikeda Taka,24,0,0,0,30,0,0,30,54,0
Carlo Lang,34,0,0,0,0,0,0,0,34,0
Cirilo Dorantes,77,0,0,0,0,0,0,0,77,0
Chikara Yusuke,20,0,0,0,17,0,34,51,71,0
Syed David,0,30,50,0,0,0,88,88,168,0
Osamu Hirayama,0,33,60,66,26,0,0,26,185,0
Martin Lagunas,0,17,47,0,0,33,17,50,114,1
Sean Dixon,73,0,33,16,0,23,0,23,145,0
Nobu Mizuguchi,0,11,34,67,0,10,0,10,122,0
Edgar Barbosa,38,0,28,33,69,0,0,69,168,0
